pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,tipo
MIQUETLA-63,0.138376,0.0005082590054009999,2018-11-01,555.0,2100.0,VERTICAL,1973-04-01,INACTIVO,26.0,0.02263187117591722,0.05146599882479486,0.0,0.014144208541712546,MEDIA
MIQUETLA-65,0.101895,0.0024287968338000004,2017-03-01,533.0,2101.0,VERTICAL,1973-06-01,INACTIVO,24.0,0.04320419146285545,0.153118830020259,0.0,0.010656041262206133,MEDIA
MIQUETLA-66,0.08055,0.000644094572115,2020-02-01,567.0,2120.0,VERTICAL,1973-07-01,PRODUCTOR,43.0,0.019242231991209866,0.0860492244884484,0.0,0.020721683611923017,MEDIA
MIQUETLA-67,0.096376,0.096376,1973-08-01,0.0,,nan,1973-08-01,nan,,0.00289128,0.0,0.0,0.0028182299999999997,MEDIA
MIQUETLA-67A,0.103572,0.000318264006529,2018-01-01,540.0,2116.0,VERTICAL,1973-09-01,INACTIVO,31.0,0.03265142564572293,0.05634860511252436,0.0,0.010514324184846597,MEDIA
MIQUETLA-68,0.131274,0.131274,1973-10-01,0.0,2117.0,VERTICAL,1973-10-01,INACTIVO,30.0,0.00393822,0.0,0.0,0.0038895299999999996,MEDIA
MIQUETLA-73,0.181566,0.0116705492741,2020-02-01,563.0,2026.5,VERTICAL,1973-11-01,PRODUCTOR,16.0,0.1283372939904668,0.20350910180596252,0.0,0.027670366604384086,MEDIA
MIQUETLA-74,0.15825899999999998,0.00589388325338,2020-02-01,562.0,2020.0,VERTICAL,1973-12-01,PRODUCTOR,16.0,0.21119047016031162,0.4729838868709724,0.0,0.009499632667335334,MEDIA
MIQUETLA-75,0.127841,0.000398634473071,2018-11-01,546.0,2023.0,VERTICAL,1974-01-01,INACTIVO,17.0,0.17314082109518186,0.3121993004976674,0.0,0.00826071876301113,MEDIA
MIQUETLA-76,0.110281,0.001258,1995-11-01,265.0,2069.0,VERTICAL,1974-02-01,INACTIVO,26.0,0.15191927999999977,0.3129091200000002,0.0,0.004186529999999999,MEDIA
MIQUETLA-112,0.11699,0.0129092222899,2020-02-01,560.0,2047.0,VERTICAL,1974-02-01,PRODUCTOR,23.0,0.17163466450624928,0.3191461790257008,0.0,0.004515673112872472,MEDIA
MIQUETLA-77,0.216369,6.06614834827e-05,2017-01-01,522.0,2044.0,VERTICAL,1974-03-01,INACTIVO,25.0,0.23142411833039983,0.47809524573700163,0.0,0.010161306018109752,MEDIA
MIQUETLA-78,0.155358,0.000265756315381,2018-11-01,543.0,2046.0,VERTICAL,1974-04-01,INACTIVO,24.0,0.19378989729970617,0.2878851502548083,0.0,0.006914036019780387,MEDIA
MIQUETLA-79,0.205886,0.000199317236535,2018-11-01,542.0,2079.0,VERTICAL,1974-05-01,INACTIVO,43.0,0.15958201792457624,0.305620889729554,0.0,0.00795893372668617,MEDIA
MIQUETLA-85,0.237389,0.00428847162421,2020-02-01,556.0,2155.0,VERTICAL,1974-06-01,PRODUCTOR,29.0,0.23040102541176685,0.4675935160399348,0.0,0.012967735593788998,ALTA
MIQUETLA-80,0.268027,0.00125291963411,2016-01-01,506.0,2064.0,VERTICAL,1974-06-01,INACTIVO,16.0,0.23295041758902327,0.36682189027809015,0.0,0.008429257933898319,ALTA
MIQUETLA-94,0.131187,0.006972579058720001,2020-02-01,555.0,1959.9,VERTICAL,1974-07-01,PRODUCTOR,14.0,0.11030364988134259,0.15486772932964815,0.0,0.011370516672451484,MEDIA
MIQUETLA-81,0.118492,6.95283377167e-05,2018-04-01,533.0,2050.0,VERTICAL,1974-07-01,INACTIVO,16.0,0.14717167585013147,0.22726290845006458,0.0,0.015054776997317998,MEDIA
MIQUETLA-96,0.084703,0.0140876170104,2020-02-01,554.0,1996.9,VERTICAL,1974-08-01,PRODUCTOR,28.0,0.11406841238327708,0.19352969683170634,0.0,0.007612900701424533,MEDIA
MIQUETLA-82,0.171502,0.0104205060938,2020-02-01,554.0,2065.0,VERTICAL,1974-08-01,PRODUCTOR,26.0,0.24684090754788757,0.3783132406850707,0.0,0.0134375399311725,MEDIA
MIQUETLA-102,0.104289,0.00721725517824,2020-02-01,554.0,2023.0,VERTICAL,1974-08-01,PRODUCTOR,17.0,0.06295415495624551,0.18784070928839847,0.0,0.013496952999910893,MEDIA
MIQUETLA-83,0.147303,0.0120010110323,2020-02-01,553.0,2080.0,VERTICAL,1974-09-01,PRODUCTOR,30.0,0.23112699361161002,0.33197507255217845,0.0,0.014855089900794568,MEDIA
MIQUETLA-84,0.125796,0.00188567576179,2017-01-01,514.0,2079.0,VERTICAL,1974-10-01,INACTIVO,28.0,0.08203643103389699,0.11366407828668121,0.0,0.014406143589266791,MEDIA
MIQUETLA-91,0.14081,8.0881977977e-05,2017-01-01,512.0,2035.0,VERTICAL,1974-12-01,INACTIVO,23.0,0.059818463884597696,0.08404855603111014,0.0,0.007064511946141461,MEDIA
MIQUETLA-108,0.080144,0.0014727329144,2018-11-01,534.0,2000.0,VERTICAL,1975-01-01,INACTIVO,32.0,0.1111982114983043,0.17367090765006798,0.0,0.004543817867938094,MEDIA
MIQUETLA-99,0.113216,0.113216,1975-05-01,0.0,2029.0,VERTICAL,1975-05-01,INACTIVO,25.0,0.00339648,0.0,0.0,0.0037860600000000004,MEDIA
MIQUETLA-101,0.11091,0.0160245271777,2020-02-01,544.0,2071.0,VERTICAL,1975-06-01,PRODUCTOR,26.0,0.0603896150784526,0.12254014436777846,0.0,0.012486525427533566,MEDIA
MIQUETLA-113,0.063455,0.00159789648862,2020-02-01,543.0,2045.0,VERTICAL,1975-07-01,INACTIVO,27.0,0.1086867745531412,0.24958364761845847,0.0,0.0072899407632694285,MEDIA
MIQUETLA-103,0.137158,0.0127802414029,2020-02-01,542.0,2021.5,VERTICAL,1975-08-01,PRODUCTOR,23.0,0.18320925085294862,0.31671625939472825,0.0,0.016493419378121897,MEDIA
MIQUETLA-104,0.08910599999999999,0.00362696123223,2020-02-01,541.0,2035.0,VERTICAL,1975-09-01,PRODUCTOR,29.0,0.12327493697908717,0.36289943447680306,0.0,0.20633887292979916,MEDIA
MIQUETLA-105,0.162487,0.00744133078875,2020-02-01,540.0,2020.0,VERTICAL,1975-10-01,PRODUCTOR,31.0,0.056762298242084994,0.13134574947544791,0.0,0.02234565776673691,MEDIA
MIQUETLA-106,0.08931499999999999,0.00681133999653,2020-02-01,539.0,2073.0,VERTICAL,1975-11-01,PRODUCTOR,25.0,0.06325896244696921,0.09521154302383349,0.0,0.007792129212215607,MEDIA
MIQUETLA-109,0.093479,0.00441646377882,2020-02-01,536.0,1991.0,VERTICAL,1976-02-01,PRODUCTOR,20.0,0.0775849302449553,0.12080598856302549,0.0,0.015470291550896617,MEDIA
MIQUETLA-110,0.077912,0.00127566134108,2019-05-01,526.0,1980.0,VERTICAL,1976-03-01,INACTIVO,21.0,0.011124861037738973,0.010143734328926282,0.0,0.003148466906502834,MEDIA
MIQUETLA-124,0.06695599999999999,0.00297304509651,2020-02-01,534.0,2006.0,VERTICAL,1976-04-01,PRODUCTOR,21.0,0.13097570829995087,0.24259182213596922,0.0,0.0057183852324953315,MEDIA
MIQUETLA-111,0.090573,0.00975495754935,2020-02-01,534.0,1960.0,VERTICAL,1976-04-01,PRODUCTOR,19.0,0.09668743532416946,0.1515723253141825,0.0,0.010647125125646067,MEDIA
MIQUETLA-114,0.063101,0.00560236484986,2020-02-01,531.0,1991.3,VERTICAL,1976-07-01,PRODUCTOR,19.0,0.06256938734397098,0.10439617938821037,0.0,0.004746137917817496,MEDIA
MIQUETLA-115,0.025565,0.00417305738038,2020-02-01,530.0,2070.0,VERTICAL,1976-08-01,PRODUCTOR,27.0,0.0034975821011058003,0.0018906918310359002,0.0,0.001189180168618431,BAJA
MIQUETLA-116,0.064724,0.00986415240101,2020-02-01,529.0,2065.5,VERTICAL,1976-09-01,PRODUCTOR,27.0,0.15762128131893946,0.2550697515707952,0.0,0.005993509702216956,MEDIA
MIQUETLA-117,0.040884,0.000403418044959,2018-11-01,512.0,2050.0,VERTICAL,1976-10-01,INACTIVO,25.0,0.05941306976931926,0.09867343458507648,0.0,0.005269465853463522,BAJA
MIQUETLA-118,0.105359,0.0262350392789,2020-02-01,527.0,2021.0,VERTICAL,1976-11-01,PRODUCTOR,25.0,0.09626124733587778,0.11675733068733234,0.0,0.018003014944244108,MEDIA
MIQUETLA-121,0.05742000000000001,0.0022997664933200003,2019-10-01,521.0,3180.0,VERTICAL,1976-12-01,PRODUCTOR,103.0,0.010033625567988242,0.014608170833663824,0.0,0.00412713468390533,MEDIA
MIQUETLA-125,0.036927,0.036927,1977-03-01,0.0,2045.0,VERTICAL,1977-03-01,INACTIVO,25.0,0.0011078099999999999,0.0,0.0,0.0013391100000000001,BAJA
MIQUETLA-126,0.034378,0.00907464131079,2020-02-01,522.0,2002.0,VERTICAL,1977-04-01,PRODUCTOR,16.0,0.06403898623079111,0.08052007974385922,0.0,0.006850958158649117,BAJA
MIQUETLA-127,0.034898,0.034898,1977-05-01,0.0,2042.0,VERTICAL,1977-05-01,INACTIVO,23.0,0.00104694,0.0,0.0,0.0012660899999999999,BAJA
ADULARIA-1,0.065833,0.00192886822832,2019-01-01,480.0,1883.0,VERTICAL,1979-08-01,INACTIVO,34.0,0.09742328714368009,0.08308691457324935,0.0,0.005603121128001625,MEDIA
CAMPANA-101,0.0520429802097,0.0283056529338,2020-02-01,46.0,3309.0,VERTICAL,2016-05-01,PRODUCTOR,147.0,0.025136256185338914,0.10942869055015253,0.0,0.00770873040886464,BAJA
MIQUETLA-1,0.012218,0.002519,2009-10-01,162.0,3472.0,VERTICAL,1996-06-01,INACTIVO,107.0,0.00159789,0.00278895,0.0,0.00010847999999999998,BAJA
CASTILLO DE TEAYO-13,0.0271941770924,0.00855130276465,2017-08-01,19.0,2237.0,VERTICAL,2016-01-01,INACTIVO,22.0,0.011198807839360501,0.0027386405668845004,0.0,0.0031110296381819825,BAJA
CASTILLO DE TEAYO-26,0.0193626358784,0.0076831317262,2017-08-01,19.0,2273.0,VERTICAL,2016-01-01,INACTIVO,21.0,0.009618440551419005,0.0018992904441510001,0.0,0.0127694930638269,BAJA
CASTILLO DE TEAYO-25,0.0179364829444,0.00221814263225,2017-08-01,19.0,2335.0,VERTICAL,2016-01-01,INACTIVO,25.0,0.008399066122947,0.0026672080989256796,0.0,0.0027612061351840805,BAJA
