pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,tipo
MIQUETLA-44,0.145477,0.029198019956136027,0.9999999999999999,0.0028081879246815455,0.005147253300267594,1.5199487181029667,0.029196851542065097,0.002807814064818185,0.003658659320339386,0.0010490882140110197,0.14540596630859376,10.0,0.022767641440159907,0.0,0.018763625466,2020-02-01,588.0,2035.0,VERTICAL,1971-10-01,0.037926779839830366,0.9999999999999999,3.1676150015825e-18,5e-45,0.5,10.0,PRODUCTOR,0.12129752623895869,0.05980358236702582,0.05980358224247078,0.7536455294010865,0.41417353753911146,0.4141735375391191,0.13138930352207845,0.2685216012622699,0.0,0.012603128698121698,MEDIA
MIQUETLA-45,0.196032,0.19603199999988782,0.5697958502832964,0.020772861941668334,0.01873273580824724,0.13887199978896322,0.19603199999999998,0.03607792103198991,0.018881594935966927,0.004635486634954897,0.19593628125,10.0,0.029297966297289087,0.0,0.00994403027101,2020-02-01,587.0,2030.0,VERTICAL,1971-11-01,0.11331857782153665,0.3258807855557067,0.006604280202934525,5e-45,0.5,10.0,INACTIVO,0.2103008531434864,0.08589167773346948,0.08805972637859878,0.6460187891377029,0.3571952051215165,0.3626366968866845,0.15176663346591884,0.2307798221509137,0.0,0.01115477836112579,MEDIA
MIQUETLA-46,0.172056,0.16524506418127155,0.9999999999998836,0.0827737194521185,0.009362548268017083,0.104208860709822,0.16524552863217215,0.08277415650465524,0.009322239187416821,0.006822884362391373,0.17197198828125,10.0,0.01464344567498187,0.0,0.012024,2015-10-01,534.0,2076.0,VERTICAL,1971-12-01,0.026287447391433842,0.9999244543665737,2.904973272466372e-16,5e-45,0.5,10.0,INACTIVO,0.06625902488196889,0.02701876243715498,0.027018762436122036,0.47978841834993996,0.2648781239388781,0.2648781239389104,0.11716248000000005,0.24526188000000018,0.0,0.013093740000000003,MEDIA
MIQUETLA-49,0.231505,0.23144848022460937,0.5,10.0,inf,inf,0.23144848022460937,10.0,inf,inf,0.23144848022460937,10.0,inf,inf,0.231505,1972-03-01,0.0,2060.0,VERTICAL,1972-03-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,3.194485010205874e-09,3.194485010205874e-09,3.194485010205874e-09,2.5e-89,2.5e-89,2.5e-89,0.00694515,0.0,0.0,0.00276954,MEDIA
MIQUETLA-50,0.218675,0.21867488971017485,0.41633685844430673,0.013843984569771803,0.003968678073706846,0.5004611694969068,0.21862203817526035,0.050885270650064984,0.003945475866121091,0.004103990605356274,0.21862161254882814,10.0,0.009062736425030249,0.0,0.007167920200810002,2020-01-01,581.0,2055.0,VERTICAL,1972-04-01,0.023161700178055373,0.9595067273461021,4.1020220774242794e-16,5e-45,0.5,10.0,PRODUCTOR,0.0033674608518923727,0.0006300162358706808,0.000638238190743405,0.042204622123088995,0.019136648932391594,0.019136648932405277,0.016659266976425398,0.029878593224013,0.0,0.006584511673910156,MEDIA
MIQUETLA-51,0.177332,0.17564543896921905,0.9999999999999999,0.09839913908995009,0.012205899311583343,0.2390099906461541,0.17564543879822445,0.09839913877140949,0.012159317029183127,0.01249340394954201,0.177245412109375,10.0,0.016160583213701996,0.0,6.96195346093e-05,2018-07-01,562.0,2070.6,VERTICAL,1972-05-01,0.024768641303053278,6.1401405845296406e-09,0.0015534596995679462,5e-45,0.5,10.0,INACTIVO,0.038913503021241025,0.02205298547441128,0.02205298547441132,0.11549544601771874,0.07195435768971764,0.07221996774604221,0.05116815010101082,0.07415533953870448,0.0,0.0068358367182760425,MEDIA
MIQUETLA-52,0.15389,0.14214794800710673,0.9999999999999999,0.06889246813501151,0.015481697684555689,0.2131102183276496,0.14213754904825787,0.06888180328481272,0.015373073270119676,0.01172486485411867,0.1538148583984375,10.0,0.01864309081722648,0.0,0.0196110421923,2020-02-01,580.0,2300.0,VERTICAL,1972-06-01,0.05116980172498983,3.24323787845391e-09,3.627296952356544e-17,5e-45,0.5,10.0,PRODUCTOR,0.07055566154952893,0.04851500515521311,0.04851500516519616,2.3651102851095667,1.8283488149301603,1.8283488149302114,0.09429726717139314,0.31469428079617673,0.0,0.008265087959706242,MEDIA
MIQUETLA-54,0.17063599999999998,0.15399879542115694,0.9999999999999999,0.1514596363620718,0.017780707912663368,0.1856865251122841,0.1539978754461611,0.1514576503894416,0.017589960561513726,0.028901799789941555,0.17055268164062498,10.0,0.020650766008303196,0.0,0.0131420037588,2020-02-01,579.0,2080.3,VERTICAL,1972-07-01,0.037680703812893464,0.9999999999999999,1.4541853422619641e-15,5e-45,0.5,10.0,PRODUCTOR,0.11130452968644927,0.08267917214826342,0.08267917216265636,0.8788201709295292,0.5054034374231102,0.5054034374230425,0.1271252552275831,0.2973007547182113,0.0,0.019844108150190484,MEDIA
MIQUETLA-55,0.15968,0.15960203125,0.5,10.0,inf,inf,0.15960203124999997,10.0,inf,inf,0.15960203124999997,10.0,inf,inf,0.15968,1972-08-01,0.0,2100.0,VERTICAL,1972-08-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,6.079125976565327e-09,6.0791259765609984e-09,6.079125976565327e-09,2.5e-89,2.5e-89,2.5e-89,0.0047904,0.0,0.0,0.00301302,MEDIA
MIQUETLA-56,0.12873099999999998,0.12866814306640623,0.5,10.0,inf,inf,0.12866814306640623,10.0,inf,inf,0.12866814306640623,10.0,inf,inf,0.12873099999999998,1972-09-01,0.0,2096.0,VERTICAL,1972-09-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,3.950994100810088e-09,3.950994100810088e-09,3.950994100810088e-09,2.5e-89,2.5e-89,2.5e-89,0.0038619299999999995,0.0,0.0,0.0022266000000000005,MEDIA
