pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp
SIHIL-6,17.377337,12.01517619029129,7.615620309163243e-08,0.008952037769376893,1.5531473573399646,0.9124928815028838,11.69726407966144,0.009073403535231167,1.6115988482199155,0.006461334866916214,12.014588851803017,0.008949921965206999,1.4686020286349906,0.004349615806758114,0.996048,2014-08-01,56.0,3702.0,DIRECCIONAL,2010-01-01,4.743431394602109,5.235929554793308e-10,0.008942172112127895,5e-45,0.5,10.0,INACTIVO,1353.9167385075575,1353.9167461295149,1380.0507327808782,211.49112359392828,211.49111682964033,215.5576890001851,15.849840150000006,6.258964619999999,0.0,1.7078037900000005
SIHIL-8,5.101028,4.019690258506396,0.9999999999999675,0.09353018017728516,0.36156959879644845,0.22455701476920112,4.019690891818725,0.09353021434734474,0.30598641968195994,0.013849006539400778,2.639601654444891,0.02259126634951357,0.18361865556724277,0.0023693753187468657,0.216897103448,2020-02-01,120.0,3642.0,DIRECCIONAL,2010-04-01,1.5886951585503517,0.9999999999999937,0.09404904803436857,5e-45,0.5,10.0,PRODUCTOR,42.904823339852484,32.454537211776874,32.45453721194993,6.648518358899744,5.027248588172526,5.027248588399854,3.399609717282748,1.3381748332763967,0.0,1.3849965526162866
SIHIL-11,11.997792,9.816162239862974,0.10126338297230794,0.024979384636426807,0.6784463601176763,0.25807802365814564,10.292387618361882,0.043004841410549874,0.7965613249522123,0.007587238680430474,9.716185538882314,0.02341252084398557,0.5359942600670992,0.002234906690611206,0.804554137931,2020-02-01,120.0,3938.0,DIRECCIONAL,2010-04-01,3.8741751599168266,0.09241454593414526,0.024908548088005238,5e-45,0.5,10.0,PRODUCTOR,237.68261443556526,236.9429840659747,273.78588282432634,36.79751364180325,36.70149963450861,42.582561911387664,10.382281433538331,4.091344653144301,0.0,1.4889142646674298
SIHIL-4,8.15061,3.8341748487929164,0.6750334921016434,0.04726695160721321,0.708122923636258,0.5918952281726287,4.0205723797485495,0.06400056838808917,0.6632554033666596,0.0210691782984111,3.340787358133443,0.02521938696223322,0.42304393267529133,0.004717844518807995,0.013951316129,2019-05-01,109.0,3958.0,DIRECCIONAL,2010-06-01,1.5292220329784254,0.8321621487214065,0.05793359912273256,5e-45,0.5,10.0,INACTIVO,173.73806154512002,170.55912879070252,171.0644054738037,24.624838813865562,23.960770214564874,23.979133918577524,3.7728331734367817,1.429170750579878,0.0,3.196968124450575
SIHIL-13,18.236045,14.547057734388398,1.8511364670509954e-08,0.015342626529238363,0.8786897390746911,0.13384766138567297,14.399776904323742,0.023739221824732926,1.243853891847247,0.004866883662228141,14.545124492243048,0.015341236092202535,0.8548046149544583,0.0015153296952451606,3.10593724138,2020-02-01,118.0,3725.0,DIRECCIONAL,2010-06-01,5.748362281424361,4.5616895950075267e-11,0.015413894988907429,5e-45,0.5,10.0,PRODUCTOR,1201.5628447823856,1201.5629209854949,1469.6837864585686,187.4886484841196,187.48864317686065,229.73582506175447,23.212354779142213,9.14344948754343,0.0,7.155051984385411
SIHIL-7,6.640107,4.9571219740003,0.9999999999977788,0.0943200903452882,0.6467164839212572,0.329189374359225,4.957121623196007,0.09432007498059612,0.5460932264382251,0.020285941054931297,3.288126808420531,0.02397654523717179,0.32531690408726877,0.0035248059750952656,1.1296520689700005,2020-02-01,117.0,3660.0,DIRECCIONAL,2010-07-01,1.801146845866775,0.999999999999999,0.09074057474676374,5e-45,0.5,10.0,PRODUCTOR,123.30536405707409,99.9835554108826,99.9835554108118,16.928012720740394,13.725288682730842,13.725288682729845,4.127772242022481,1.5484696829919893,0.0,1.144128882148866
SIHIL-23,4.489258,3.4153913861303744,2.0630644404015457e-07,0.12268380850951072,0.7889470850314418,0.9429216256747792,3.144433048355316,0.17947999601147532,0.8602542241395958,0.11464546204934162,3.4170758316492083,0.12282627978643297,0.6369552299157821,0.03670104603171459,0.009513,2012-07-01,21.0,3121.0,DIRECCIONAL,2010-10-01,1.2565398874076403,3.451600167932781e-10,0.12343990378862342,5e-45,0.5,10.0,INACTIVO,18.84355349636745,18.843576080228406,23.619962846793047,2.5207389795726023,2.520738866541116,3.1671437298265626,0.7762827000000001,0.2844096,0.0,0.32234565
SIHIL-12,14.422465,14.402344361534078,0.11909805757003697,0.03789995034815675,1.2123788740426749,0.2663450023996516,14.422464999997045,0.06109624800096513,1.3859293342710826,0.012725259700402681,14.38566167284294,0.03585950974117263,0.9739896432641549,0.0038578317204187576,2.7661493103400003,2020-02-01,110.0,4162.0,DIRECCIONAL,2011-02-01,5.69195325616578,0.1021133153345504,0.03755646192842528,5e-45,0.5,10.0,PRODUCTOR,525.7243566296402,524.2864615193691,599.2902240614706,81.16472681443452,81.00447436618175,93.14645563359105,11.822024274586234,4.667157658515122,0.0,3.7441040823314338
SIHIL-5,3.156071,1.2826657929421916,3.837205380947548e-10,0.007129568258461442,0.1663362858864704,0.007740239219961112,1.2589103339256573,0.007673630527456849,0.20077334082472664,0.005696212878733907,1.2826761996619114,0.007129821688688608,0.18085403369710862,0.0037022892195256625,0.29039086666700004,2017-11-01,73.0,4385.0,DESVIADO,2011-11-01,0.5074517936635403,1.0334757543721223e-10,0.00728247742484221,5e-45,0.5,10.0,INACTIVO,27.015630228812395,27.015628976157625,27.233215185407047,4.217951077438102,4.217949663178466,4.2537871028161645,2.0415886324951797,0.8032097778119252,0.0,0.13245595160450616
SIHIL-21,11.771145,11.771144999997695,7.173876369520392e-08,0.03858798310476335,1.2864272357407711,0.36675025332773203,11.771144999996565,0.05818036057630854,1.5259129381575551,0.01848934025511515,11.771144999999999,0.03858805765426444,1.1435733351421795,0.006994365401207759,1.22504931034,2020-02-01,100.0,4280.0,DESVIADO,2011-11-01,4.646031999999916,6.828460147359315e-08,0.03864919447388541,5e-45,0.5,10.0,PRODUCTOR,394.95656017672195,394.9565616997492,452.1345462592609,61.22733145131891,61.227331712820614,70.29730200115218,7.769940839338184,3.0608875143965815,0.0,1.7884517789338168
