pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb
MIQUETLA-36,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00607384425237,0.072677577044,0.0,0.0006495888408080001,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2001.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,32.0,1971-02-01,17897,0.266418,597.0,0.13288126582873017,0.0,0.010418847825065048,0.010418922053835262,3.6891584002048086e-05,1.887905604673273e-05,1.887970110078619e-05,0.0,0.027705605527743767,0.02770533268749004,0.005282030204986556,0.0020224782220589627,0.0020225027624616427,5.607772642054975e-52,0.2827344589823911,0.46656670266165273,0.0,0.02033078326380356
MIQUETLA-39,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0109665782067,0.011239364840000002,0.0,0.0483709940216,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2045.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,38.0,1971-05-01,17808,0.387533,594.0,-0.011977878106313344,0.0,0.00885096916925212,0.008850969017249561,0.00012026583756366739,4.475801599331148e-06,4.475802242487143e-06,0.0,0.01413595144945249,0.014135951297544991,0.00012632332200662827,8.39021398605946e-06,8.39021310603303e-06,5.664540689018869e-52,0.0765798750570537,0.0606432317252517,0.0,0.057956167636637086
MIQUETLA-40,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.000342936864339,0.000179946802862,0.0,0.00014536592959900002,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2060.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,23.0,1971-06-01,17777,0.222659,593.0,-0.8825110484725402,0.0,0.0060977604792635115,0.006097760516339641,1.176056929226657e-07,3.3117994838892826e-05,3.3117995265626e-05,0.0,0.01811711478439059,0.018117516996138346,3.2380851860255495e-08,0.0003217419951975745,0.000321756424438716,5.683655035786565e-52,0.12948584456507983,0.18439126720925028,0.0,0.017536366431683558
MIQUETLA-41,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0310207644156,0.0833378630753,0.0,0.00801320102033,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2040.4,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,28.0,1971-07-01,17747,0.203505,592.0,0.08064370013365019,0.0,0.00929584574382281,0.00929571767317155,0.0009622878249281553,0.0004719720912953333,0.000471977655960701,0.0,0.008312211095514626,0.025043166488596728,0.006945199421957452,0.005628848454991874,0.0033982716501357946,5.702866294816973e-52,0.2923580690642849,0.6234777101577242,0.0,0.015485220039657598
MIQUETLA-42,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.013009322033,0.08610454516930001,0.0,0.00111111488572,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2025.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,21.0,1971-08-01,17716,0.164549,591.0,0.07862073185674023,0.0,0.007461866194130424,0.007461865806334843,0.00016924245975829928,3.077426628420816e-05,3.077427058676603e-05,0.0,0.02365626837656446,0.02365626837506518,0.007413992698812026,0.003899787274382113,0.003899787274569368,5.722175122362992e-52,0.0539868751751578,0.1036144554896565,0.0,0.01010193536450283
MIQUETLA-43,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0104541115754,0.0180546625538,0.0,0.00152994265419,0.0,1961.0,MIQUETLA,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,3117.0,,ACEITE,VERTICAL,TERRESTRE,3.0,103.0,1971-09-01,17685,0.187017,590.0,0.02582463518655409,0.0,0.009206784616307835,0.009206783961124381,0.00010928844883091228,1.5558245428781075e-06,1.5558261773345083e-06,0.0,0.01859205203495848,0.018592050846341936,0.000325970839931588,2.8878745445977696e-07,2.8878617696113615e-07,5.741582180241815e-52,0.03664712166976512,0.04796749118327822,0.0,0.009481235542943998
MIQUETLA-44,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.018763625466,0.034313605970700004,0.0,0.00265526881085,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2035.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,28.0,1971-10-01,17655,0.145477,588.0,0.011598831035610768,0.0,0.011013073427027328,0.011013545923432408,0.0003520736406283238,6.007105690882346e-05,6.006373291612471e-05,0.0,0.037926779839830296,0.03792677980721647,0.0011774235547124588,1.305502540856597e-05,1.3055025172887107e-05,5.780693662428994e-52,0.13138930352207845,0.2685216012622699,0.0,0.012603128698121698
MIQUETLA-45,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00994403027101,0.051524767886,0.0,0.00301419498834,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2030.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,20.0,1971-11-01,17624,0.196032,587.0,10.655917065211293,0.0,0.005156686017742524,0.008839133434291088,9.888373803076322e-05,2.291866499929313e-05,1.2207970197914586e-06,0.0,0.009240806325206045,0.01618460409947407,0.002654801705706177,0.0017879334052747007,0.001248927176458479,5.800399438706947e-52,0.15176663346591884,0.2307798221509137,0.0,0.01115477836112579
MIQUETLA-47,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00360449828172,0.0579428705214,0.0,2.59697144209e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2062.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,30.0,1972-01-01,17563,0.339446,585.0,-0.5181551496353707,0.0,0.001279065495010369,0.011903919341835096,1.2992407862922432e-05,5.407637645504121e-06,6.888038993308196e-05,0.0,0.01850884394821214,0.020781032829318875,0.0033573762442597253,0.001555042451774886,0.0013810021806525813,5.8401144849322704e-52,0.302813259764011,0.5199138318299324,0.0,0.01296458262298488
MIQUETLA-50,2020-01-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.007167920200810002,0.0631406974191,0.0,0.00123123513978,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2055.0,,ACEITE-GAS,VERTICAL,TERRESTRE,2.0,83.0,1972-04-01,17441,0.218675,581.0,-0.15023681683624712,0.0,0.0064048911988007695,0.007152846163139647,5.13790800051801e-05,5.82213257907205e-07,2.272266116872822e-10,0.0,0.023161700178049853,0.023161699998386756,0.003986747670570341,0.0015983202203998952,0.0015983202347653962,5.9207780944473044e-52,0.016659266976425398,0.029878593224013,0.0,0.006584511673910156
MIQUETLA-52,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0196110421923,0.230916734772,0.0,3.46741122562e-05,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2300.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,30.0,1972-06-01,17411,0.15389,580.0,0.15675126530494232,0.0,0.0034706095723228358,0.00347087986532459,0.00038459297586817084,0.000260513565160023,0.00026050483994111633,0.0,0.05116980172498983,0.05116980153527052,0.053322538397762194,0.032308959939806356,0.03230896000800928,5.941205121176225e-52,0.09429726717139314,0.31469428079617673,0.0,0.008265087959706242
MIQUETLA-54,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0131420037588,0.06481458905569999,0.0,0.000164633393531,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2080.3,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,29.0,1972-07-01,17381,0.17063599999999998,579.0,0.19626828637222693,0.0,0.0017362711613341868,0.0017362832988578986,0.00017271226279631333,0.00013009073608489423,0.00013009045921034187,0.0,0.03768070381286174,0.037680703954161496,0.004200930954459265,0.0007362477283715155,0.0007362477207034927,5.9617380421843045e-52,0.1271252552275831,0.2973007547182113,0.0,0.019844108150190484
MIQUETLA-92,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.012110200672,0.0326584702735,0.0,0.00154578632545,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,1974.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,22.0,1972-09-01,17319,0.05234,577.0,-0.009215795951693528,0.0,0.01264817409754098,0.01264813010813641,0.00014665696031610927,2.8941540658829616e-07,2.8936807826203543e-07,0.0,0.0066587402840263665,0.006658734015477856,0.0010665756806050833,0.0006759859595255347,0.0006759862854867115,6.003124506243009e-52,0.1477069129585731,0.2674976907709589,0.0,0.01836521649381827
MIQUETLA-95,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00975451145889,0.023415577722400004,0.0,0.00344032966049,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,1978.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,23.0,1973-01-01,17197,0.097282,573.0,0.0322332650172501,0.010622580656607638,0.01062251393675269,0.01171304246936621,7.535441320261441e-07,7.534283015757697e-07,3.83584371899697e-06,0.0071293853683087275,0.00914418580163237,0.0124143251472032,0.0002652400613944611,0.00020367262735615169,0.00012102755822327433,6.0872008566882995e-52,0.1557526779604638,0.23120739512651522,0.0,0.006527995768680285
