pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua
MIQUETLA-17,0.06499500000000001,0.01704922776327651,0.9999999999999999,0.0006218780084078434,0.004385285752217954,16.025257613594526,0.01704883475350038,0.0006217890336060465,0.001838966152713935,0.00037541964325876997,0.06493152832031251,5.0,0.017267741015995236,0.0,aceite_Mbd,2020-02-01,617.0,2092.4,VERTICAL,1969-06-01,0.02909718296631376,0.9999999999999999,5.412437077217273e-18,5e-45,0.5,10.0,PRODUCTOR,0.07752546874682589,0.029542820181294584,0.02954282016848447,0.644112919886014,0.42229164977350336,0.4222916497735033,0.11056617084766805,0.22870385816470193,0.0,0.006885311038048414,0.1486834805417849,2221.6115273651926,0.06955400574334158
MIQUETLA-18,0.372113,0.3721129999999213,0.7333524427409095,0.03026086038489357,0.017750141595016807,0.08452171450711131,0.3721129994580524,0.045776070348067605,0.01789686642739663,0.0029966149596799985,0.3720221520996094,5.0,0.035370290786266315,0.0,aceite_Mbd,2014-01-01,542.0,2070.0,VERTICAL,1969-07-01,0.21267133157850945,0.39334309389110167,0.006131628669813886,5e-45,0.5,10.0,INACTIVO,0.38282358591334104,0.09614981707935935,0.09830787170409583,2.601284408046016,1.3781900363650326,1.3964072018988927,0.26208609,0.53330652,0.0,0.012039569999999998,0.3509705100000003,2498.2752651827313,0.05886009759293094
MIQUETLA-19,0.336809,0.32629637317418214,0.9999999999998719,0.0321350237809854,0.02402793326138863,0.10144593040705674,0.32629669129659805,0.032135067758250105,0.02359990775751696,0.003026174949817899,0.3367267712402344,5.0,0.048516832769741614,0.0,aceite_Mbd,2020-02-01,615.0,2064.0,VERTICAL,1969-08-01,0.07816299999901653,0.9999999999999897,0.00011050006669569525,5e-45,0.5,10.0,PRODUCTOR,0.8874139143766668,0.2179912563831428,0.21799125638275532,5.3281590714533005,2.963636520011709,2.963636519999639,0.4367053477654963,0.8975444147160487,0.0,0.018483456823272876,0.5862960835515052,2415.3571666390058,0.0724730881865809
MIQUETLA-20,0.220353,0.22035299999999997,0.4866459275167017,0.024197153861749025,0.020443316602211575,0.12361249428024756,0.22035299999999997,0.045604469453374694,0.020785750623838525,0.005813446007223423,0.22029920288085936,5.0,0.03214789182073374,0.0,aceite_Mbd,2018-07-01,594.0,2130.0,VERTICAL,1969-09-01,0.054124287692740414,0.9999999998883934,7.749194137999387e-19,5e-45,0.5,10.0,INACTIVO,0.26560614576902314,0.10814122153237714,0.11235024172861155,2.853850029545608,2.0951254463618163,2.0951254463618176,0.16262750252963717,0.42054571537187985,0.0,0.01686530139365981,0.232718455091617,2758.429382344971,0.13764068185135625
MIQUETLA-21,0.363997,0.36283346952393775,0.9999999999999999,0.09525671629633657,0.021491493863678303,0.2246559188493979,0.3628334766065769,0.09525671966793334,0.02143400515706314,0.009480997041609688,0.3639081335449219,5.0,0.030000822165930002,0.0,aceite_Mbd,2020-02-01,613.0,2078.0,VERTICAL,1969-10-01,0.03690999997374052,1.4317176502252922e-08,0.0010968225628906298,5e-45,0.5,10.0,PRODUCTOR,0.18631021144077373,0.09515316434887333,0.09515316434887243,0.6132982394786315,0.3731102732664625,0.3754324016799319,0.12853576263123392,0.2039927781780708,0.0,0.006143613686590959,0.16253455899424585,1714.99447225539,0.04069204330118164
MIQUETLA-22,0.377598,0.37564941233398275,0.9598131945980509,0.07343131224027628,0.014246327350793571,0.07367270426856408,0.3762694453441025,0.07901481243556159,0.014214946753776948,0.004368337743605752,0.37750581298828123,5.0,0.02600426269519633,0.0,aceite_Mbd,2020-02-01,612.0,2100.0,VERTICAL,1969-11-01,0.02577999999998199,0.9960810379728872,1.0767405515645653e-15,5e-45,0.5,10.0,PRODUCTOR,0.26372645454510407,0.0790011681958952,0.07905632633275442,2.7252585982433972,2.1510966215499994,2.1510966406361125,0.22183569662685093,0.4856604734048059,0.0,0.014675622988434302,0.30277910886098586,2366.7195765861643,0.08240074675216054
MIQUETLA-23,0.5113,0.5112375540467116,0.9999999999999999,0.12498970824471174,0.0023585829747997077,8.960295644832428,0.5112375440435106,0.12498970575409046,0.00227860764984034,0.00916625543620476,0.5112375854492188,5.0,0.008475805702414173,0.0,aceite_Mbd,2012-06-01,517.0,669.0,VERTICAL,1969-12-01,0.008487955550380458,0.9999999999967242,2.2890089118325864e-11,5e-45,0.5,10.0,INACTIVO,0.0010775892345761494,7.788079108621068e-05,7.788079233449528e-05,0.0019695466333476564,0.0004303299680715538,0.0004303301528825103,0.01914003,0.00488454,0.0,0.00364662,0.019954120000000002,1169.2362128877494,0.08891859901508202
MIQUETLA-23A,0.293592,0.29359199999856667,0.8189938444287985,0.04175984998569617,0.01265287052742621,0.08983693005029858,0.2935919999414051,0.057141597352809506,0.012677463166268773,0.0034175082618285797,0.293520322265625,5.0,0.023424155546671814,0.0,aceite_Mbd,2020-02-01,610.0,2108.0,VERTICAL,1970-01-01,0.050929860730331004,0.9999999978110473,0.0016455164293968604,5e-45,0.5,10.0,PRODUCTOR,0.20136962014840604,0.058609577264764505,0.059079185432755144,0.6793997816188273,0.2440578312396434,0.2440578312274808,0.20596590969687284,0.37677282268252216,0.0,0.011217228154690057,0.2687613801439598,2703.9337551385815,0.045626330127331555
MIQUETLA-24,0.171622,0.16394055921191514,0.9999999999999999,0.057085085555839236,0.011085365514494037,0.11666911609267076,0.16393954840849245,0.057084479593073785,0.011031452834379809,0.005369342028775547,0.1715382001953125,5.0,0.016411294872308208,0.0,aceite_Mbd,2020-02-01,609.0,2040.0,VERTICAL,1970-02-01,0.01963474567633015,0.9999999999999999,4.191225208771123e-17,5e-45,0.5,10.0,PRODUCTOR,0.09184173439057475,0.04181668092277949,0.04181668092310469,0.3347802789154493,0.20254580363140057,0.20254580363242397,0.14270883525002362,0.20204153303494318,0.0,0.019179335948271984,0.1763824240891805,1569.9562455587118,0.17556161955317562
MIQUETLA-25,0.168404,0.1681243876527358,0.9999999999999999,0.033019988116686015,0.014118881893505495,0.31842147124353504,0.1681243957357831,0.03301999018257127,0.014073316316730769,0.004051382849980312,0.168321771484375,5.0,0.020014398517216404,0.0,aceite_Mbd,2020-02-01,608.0,1995.0,VERTICAL,1970-03-01,0.027005543182121068,4.267408974800713e-09,2.5711165968258775e-13,5e-45,0.5,10.0,PRODUCTOR,0.07410658738110154,0.0366804272713224,0.036680427271322154,0.350099990708179,0.21372099810667372,0.21372099810667589,0.08074126690470917,0.1515011019941993,0.0,0.016939758773445526,0.10599145057040907,3236.95800179989,0.2917908569838542
