pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
LACAMANGO-45,0.257043,0.18289182705145313,2.082795757687351e-08,0.02922936693249093,0.017439394964043384,0.29404666488253006,0.18785634907280327,0.08662745570312104,0.019273664137365455,0.021343157908160007,0.18289042876241618,0.029227544087698013,0.014827018073054025,0.0029206348131078676,aceite_Mbd,1999-07-01,289.0,2007.0,VERTICAL,1975-10-01,0.13148807567355597,0.24850592140701735,5.3456906415537185e-20,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.03808955030709974,0.03808955067725261,0.04493291480421399,1.7214655205053344,1.7214655211629903,1.7214655205053526,0.05170893,0.20118224999999998,0.0,0.020248080000000005,0.08523930500000002,20380.306388013345,1.138532319705345,MEDIA
LACAMANGO-43,0.262913,0.26291299999999995,1.4584771334709761e-12,0.012053602401729408,0.007677393759708973,9.970101689623486e-06,0.26291299999999995,0.01604231004368502,0.015842181085313285,0.0029530862939813616,0.26291299999999995,0.012042986447029072,0.012207782633809198,0.0012955835775645985,aceite_Mbd,1982-09-01,84.0,2000.0,VERTICAL,1975-10-01,0.1927499999999981,7.027534109487418e-08,0.01453543001504166,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.16527689818847152,0.16527573818069682,0.1900049280223775,0.08020706061259171,0.0802070618310432,0.08933197286275721,0.4180884899999998,0.2764127099999999,0.0,0.0,0.4641572749999999,675.1644680507231,0.0,MEDIA
LACAMANGO-4,0.171711,0.1184386486882266,1.3202783926136163e-06,1.9041344622157403e-15,0.006393252275511534,0.0,0.11843864915201764,2.9340941038604435e-17,0.006386379326180115,0.00019685817643503545,0.11843864918676131,1.580389408595167e-20,0.006386373658671219,0.00019685747820498471,aceite_Mbd,2016-03-01,485.0,1950.0,VERTICAL,1976-05-01,0.11300699999999998,0.9999999999999999,2.7605842017782767e-17,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,2.2333844389751762,2.2333844389751767,2.2333844389751927,121.80274374447123,121.80274373618204,121.802743748227,1.6593254751056705,4.364936293047841,0.0,0.2689214100000001,2.3868148572803087,3626.703078367866,0.2239649286065968,MEDIA
LACAMANGO-41,0.29472800000000005,0.22408031529413164,0.9999999999999502,0.08147271748277589,0.027078391216848813,0.3418000119566014,0.22408052315295335,0.08147291223231176,0.021843826488303485,0.016472396478675135,0.16189045402962085,0.021531707952181275,0.013954374702683223,0.002560416854060713,aceite_Mbd,1986-10-01,123.0,2200.0,VERTICAL,1976-09-01,0.1829707147590349,0.9999999999965142,0.06329692603224314,5e-45,0.5,10.0,TAPONADO,0.18848575269953727,0.16222413266815403,0.1622241326692169,0.11743245304711329,0.10001370187490792,0.1000137018747265,0.16636056000000002,0.15582954,0.0,0.11612966999999998,0.19233214999999995,1050.4225704367977,1.2378584539958124,MEDIA
LACAMANGO-34,0.226554,0.21026673885919636,0.7002065394217324,0.07423807471391902,0.016539122207681858,0.20576620896854161,0.2158314393481434,0.0961772607470384,0.015774845205935233,0.013829249887553059,0.1761578003185635,0.0355774827252423,0.010650291967963868,0.0031683657627907006,aceite_Mbd,1985-07-01,108.0,2000.0,VERTICAL,1976-09-01,0.17304199997436417,1.4259329922270016e-08,0.006870276168274647,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.08483178268068388,0.07048144841119541,0.07281684180907078,0.7551445794379285,0.7551445901817305,0.7888970648090678,0.15773769000000004,0.43360914,0.0,0.03427539000000001,0.23000588000000002,3066.7392251029733,0.7386375961702828,MEDIA
LACAMANGO-28,0.23787600000000006,0.09838693740367564,4.5359266134369775e-08,3.605094027626549e-21,0.006830844523268471,0.0,0.09838693853500799,3.0605786517634165e-16,0.0068212349151509115,0.00026958704270746886,0.0983869386609323,9.333831727157109e-19,0.006821229886306713,0.00026958615421834463,aceite_Mbd,2017-12-01,502.0,2978.0,VERTICAL,1976-09-01,0.08906702020914392,6.513627619497697e-06,7.602599465991073e-17,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,1.6566692614365168,1.6566692614365173,1.6566692614366005,1.5100201829127076,1.5100201829126103,1.5100201829126112,1.0478208967741947,0.9485637687096781,0.0,0.4730121300000001,1.20591485822581,1077.9216186153556,0.9228640992398273,MEDIA
LACAMANGO-24,0.255589,0.20533768719104825,0.9999999999999999,0.014778477463597787,0.014809233044316248,0.24393358821516745,0.20533767554604024,0.014778475544948651,0.012417873876363516,0.0017628341109323057,0.14739852946287216,0.004558149795480701,0.007562252388997359,0.00038492837832312173,aceite_Mbd,2019-09-01,524.0,2000.0,VERTICAL,1976-09-01,0.11792730844644327,1.1178403372585337e-08,0.001615215565585351,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,0.6591356936814202,0.5992576074708009,0.5992576074703315,1.916155535712198,1.9161555928901628,1.9340070178056008,0.670737343748387,0.8526685833258085,0.0,0.542806618064516,0.8128487743026883,1662.6973100016542,1.2606017036482862,MEDIA
LACAMANGO-18,0.218046,0.2180459999999878,0.36586659928047666,0.009078944975930498,0.00793332428570585,0.18024051129030544,0.21804599999999996,0.012832879669157873,0.007610316829089997,0.0010199063396336757,0.20817022266570134,0.006938268420635126,0.005247605225667378,0.0002889602824580631,aceite_Mbd,2000-09-01,292.0,1780.0,VERTICAL,1976-09-01,0.14542099999032526,3.041537250127834e-08,0.002285647956999736,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.21323082387063308,0.2078323294521634,0.22455833635612865,1.6741316559821873,1.6741316641116364,1.710512036803899,0.6980319599999995,0.9432516,0.0,0.015200249999999986,0.8552405600000005,1442.807039665563,0.03889210255664899,MEDIA
LACAMANGO-6,0.26056,0.0852528721332132,5.5497949172454014e-12,0.0026463236632137672,0.0027788488088229227,4.384948577437609e-05,0.09034968066791099,0.004289213902968353,0.005602477220455333,0.0007432495223318031,0.08525260000201197,0.002646296500859571,0.00434141763741076,0.00030848942853047804,aceite_Mbd,2008-10-01,389.0,1950.0,VERTICAL,1976-11-01,0.16856070132378018,2.594454186086971e-10,4.726452871803536e-05,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,0.36660209966112034,0.3666002616442601,0.37230484515236806,12.142130641341998,12.142130558225414,12.142237527557409,0.5537189699999994,1.7388111300000002,0.0,0.051228629999999976,0.8435208249999998,2915.2589688553226,0.17230094053226008,MEDIA
LACAMANGO-8,0.16231700000000002,0.1242812377899795,3.1566036662257664e-09,2.9235539172301344e-14,0.0061281697969402015,0.0,0.12428123909032347,7.432714495050636e-17,0.0061220100591213075,0.00016814333462619163,0.12428123911664617,7.939251740474883e-18,0.006122004304030852,0.00016814270438953452,aceite_Mbd,2018-03-01,500.0,1900.0,VERTICAL,1977-02-01,0.1487972026164759,2.0444559542023348e-11,0.0005161282133077299,5e-45,0.5,10.0,CERRADO CON POSIB DE EXP.,2.0397230317809436,2.039723031780942,2.039723031780964,6.436010416802484,6.436007944852793,6.449205337434547,1.7710076575156095,1.862069067588509,0.0,0.2496652507296204,2.081352502113692,1547.9946598506526,0.26126973336858506,MEDIA
LACAMANGO-26,0.151117,0.08148794800542353,2.6913887719181387e-12,0.00020636156805959802,0.00278240644638394,2.1721845251531596e-05,0.08136865288291088,0.00020746026032372693,0.0051839347741253015,0.00024249541412956678,0.0817588026236212,0.00022025403375937718,0.005074171409248115,0.00021997255592026149,aceite_Mbd,2018-02-01,499.0,2050.0,VERTICAL,1977-02-01,0.07840588660910827,1.7324657935188406e-07,0.0003848129113342276,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,1.393599863269734,1.3935936991120028,1.3939662614039912,1.5606248278582102,1.560624841380758,1.5620460522034283,1.0938169553085597,1.0074576352086326,0.0,0.4651772317781608,1.2617265611766648,1002.717114178409,0.944631286749248,MEDIA
LACAMANGO-109,0.175039,0.08106513391634962,0.9919535480006116,6.529320001646211e-16,0.003969749293972246,0.0,0.08106513385524639,7.413955564276085e-18,0.0039652662627496825,0.00017204873587092786,0.081065133854877,9.051726270578131e-21,0.0039652625554666065,0.00017204808684235102,aceite_Mbd,2020-02-01,522.0,2000.0,VERTICAL,1977-04-01,0.09686382413019053,2.6421353500026556e-08,8.036477623949112e-05,5e-45,0.5,10.0,PRODUCTOR,0.8479857109857067,0.8479857109857324,0.8479857109857072,2.7006639968868837,2.70066399699826,2.7007271081475777,1.0822195369621819,1.268272796728822,0.0,0.34554742880088707,1.2935983364169872,1281.8901613833498,0.46856048864474525,MEDIA
LACAMANGO-115,0.279774,0.19562840356480216,0.999999999999923,0.00495711822105914,0.008488416112324964,0.5071251766447447,0.19562794285725435,0.004957079705109178,0.006275663983014682,0.00045283889981830684,0.17842750308005803,0.002821123040188103,0.004973762212531416,0.00019783490650926954,aceite_Mbd,2003-04-01,316.0,2280.0,VERTICAL,1977-05-01,0.17915756897069193,3.476036020966512e-08,0.0011529596033834529,5e-45,0.5,10.0,TAPONADO,0.3908582284880894,0.3683939727492697,0.3683939727091497,2.255055893346053,2.2550558936132283,2.262285588878539,1.091866500000001,1.3830819599999997,0.0,0.01652910000000001,1.32238016,1341.6763343595378,0.02075865536164909,MEDIA
LACAMANGO-16,0.229659,0.20014601011637229,0.9999999999997428,0.05294486875688216,0.022212164085452374,1.009591311772499,0.20014603129408778,0.05294488615027151,0.01727469729609417,0.012036041402771579,0.1827495610631522,0.029524553503610697,0.013816791930365311,0.004821934255799019,aceite_Mbd,1980-08-01,39.0,1948.0,VERTICAL,1977-06-01,0.19759484522023305,9.18309041919585e-07,5.153941021055517e-15,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.04482315735990051,0.04083585421521504,0.04083585421521705,1.457696931065151,1.4576969310650771,1.4576969310650794,0.12949820999999997,0.23118597000000002,0.0,0.0044335799999999995,0.16802920500000001,2000.5397442784777,0.04112665337689555,MEDIA
