,campo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,mes_max
0,IXHUATLAN ORIENTE,0.030097599999999995,0.02534912853041507,8.094067314186398e-08,0.0010287524667663387,0.0010412723067891086,0.2886841864417814,72
0,JACINTO,1.452944,1.2698715703195396,8.258749827716583e-09,0.006604183229749349,0.055364500750807955,0.04515986153838071,105
0,JOLOTE,4.455425,1.8817272024369784,9.892336896135431e-08,0.0005943141741445729,0.07353972182126922,0.361179118381366,431
0,JUJO,16.850885,14.615224164972922,0.6801544723361722,0.020504788358489456,0.5242221906739761,0.07507295492267176,473
0,JUSPI,0.815577,0.5325807930902327,0.9999999999999999,0.014515471141305893,0.07091859731682928,0.899597202168318,171
0,LA CENTRAL,0.466913,0.13973980246397957,7.62192079784875e-09,2.761822207668065e-13,0.012269390934206715,0.0,157
0,LA VENTA,0.02240958333333333,0.016598880782948605,7.80658919649696e-11,0.007998856492536722,0.0007403940209415785,0.0008566815947172874,34
0,LOS SOLDADOS,0.21668365,0.09487618616161068,1.1552384303614716e-06,3.1687280558955307e-18,0.004668334212063366,0.0,292
0,LUNA,4.135275999999999,3.6693644646706023,1.8573172730828508e-07,0.006625117484406129,0.13077984760743358,0.12452060416831416,380
0,MADREFIL,1.512282916665,1.3917175840240268,0.9999987414808991,1.0367804121432706e-17,0.04254281989589189,0.0,15
0,MALVA,0.8124663333333334,0.8124663333331065,0.5876671404460585,0.025874702028331805,0.05380242946762208,0.23413188873663288,149
0,MOLOACAN,0.015229247863247872,0.013567530706669958,6.049513383509183e-08,0.0023530390915465515,0.00020397740232893716,0.09021427338642153,210
0,MORA,7.019622,4.2068208817450214,0.9999999999999999,0.011195463404633274,0.1828098135700082,0.1567723716846342,459
0,NAVEGANTE,0.566285,0.5662848036037867,1.6465423652349494e-06,0.5639591336383495,inf,inf,3
0,NELASH,1.055672,0.6748728911434246,9.539126125358864e-14,0.019968641391438953,0.017618690763417877,5.737126880712436e-07,133
0,NISPERO,0.2987856,0.21168375272645043,8.586750251682939e-10,0.0020689409555028617,0.005075752202757126,0.002435941259739835,104
0,OGARRIO,0.803268,0.2298634438986631,0.9999999999999999,0.0025446206437044283,0.010127730978194837,0.4004452452346715,751
0,OTATES,0.514884,0.402024272167632,0.9999999999999983,0.009577616154948445,0.017819177351249552,0.1828727666264146,452
