pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb,RGA,corte_agua,Mbpced,acum_BOE,liquidos_Mbd
MIQUETLA-60,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0246417751951,0.00634531165438,0.0,0.0245163168368,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2112.5,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,33.0,1973-01-01,17197,0.120318,573.0,0.2174812750901507,0.0,0.012742816934256771,0.012742932259097025,0.0006072170847658457,0.0001415852076932893,0.00014158246321566788,0.0,0.00439399995151786,0.0043939999607312576,4.0262979991210653e-05,3.807617361726744e-06,3.8076173257703238e-06,6.0872008566882995e-52,0.0716363692905438,0.04537582834667132,0.0,0.030600616672220582,257.50221338119184,0.9949087126513131,0.025699327137496668,0.07919900734832236,0.0491580920319
MIQUETLA-107,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00861858885707,0.0175525609886,0.0,0.00210167660732,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2064.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,36.0,1973-01-01,17197,0.135738,573.0,0.04243567089378675,0.010461636329158067,0.010723280120675794,0.01072350794944533,3.396823984370214e-06,4.429725315098554e-06,4.4306843854461824e-06,0.0028096878454045996,0.010262358404505142,0.010262235702285228,0.00021735230851635222,5.314705371714333e-05,5.314884278028055e-05,6.0872008566882995e-52,0.2513987804170409,0.430808068380462,0.0,0.017921112160923115,2036.5933773718982,0.24385391183800964,0.011544015688503332,0.32320012514711804,0.01072026546439
MIQUETLA-61,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00622003686767,0.00299137931035,0.0,0.00015808473942899998,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2120.4,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,28.0,1973-02-01,17166,0.115912,572.0,0.23468578853995248,5.760188606589489e-199,0.00011699002313929262,0.00011698999046745691,3.868885863517403e-05,3.7247180786536225e-05,3.7247181185331716e-05,0.01326592399390354,0.013608537326374693,0.013608519433857727,0.00010556626845433832,0.0001127240443372374,0.00011272366440219767,6.108495928259869e-52,0.022772090010198306,0.038844615481681506,0.0,0.009528067719725255,480.92629899001844,0.025415402318703276,0.006718600086061666,0.029246192590478545,0.006378121607099
MIQUETLA-62,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00373014493791,0.0141633129419,0.0,6.16899193882e-05,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2098.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,28.0,1973-03-01,17138,0.112202,571.0,0.05877606708216021,0.0,0.002574527401768634,0.0025745185174412774,1.3913981257815598e-05,1.3354518898374412e-06,1.335472423685353e-06,0.0,0.01480899995723948,0.014808999963013192,0.00020059943349019202,4.1691172177800637e-07,4.1691172923402733e-07,6.129902941568784e-52,0.06362510034380432,0.102238661394345,0.0,0.008300385842439894,3796.987296111797,0.016538209751915126,0.006090697094893334,0.0806648772428618,0.0037918348572982
MIQUETLA-66,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.000644094572115,0.14520357389900002,0.0,7.3843016842e-05,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2120.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,43.0,1973-07-01,17016,0.08055,567.0,0.15364171889346423,0.0,0.0034699185593783733,0.005685263059631034,4.1485781782800495e-07,7.98528120699307e-06,2.54133797195247e-05,0.0,0.016498999999879773,0.016498999999993436,0.02108407787304236,0.016564867342554104,0.016564867342524846,6.216666235644474e-52,0.019242231991209866,0.0860492244884484,0.0,0.020721683611923017,225438.28217989486,0.11464623370372957,0.024844690221948334,0.03358376940595127,0.000717937588957
MIQUETLA-73,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0116705492741,0.0257923750768,0.0,0.0126166022261,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2026.5,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,16.0,1973-11-01,16893,0.181566,563.0,0.04134857309494344,0.0,0.005910267868154182,0.008853403157114123,0.00013620172035919603,3.3180841875685136e-05,7.936312244448606e-06,0.0,0.0009903634073313754,0.017796883534821967,0.0006652466121023338,0.0006151397828524579,6.392788499784225e-05,6.305284736570247e-52,0.1283372939904668,0.20350910180596252,0.0,0.027670366604384086,2210.0395166524013,1.0810632755820275,0.015969278453566667,0.16225547762479395,0.0242871515002
MIQUETLA-74,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00589388325338,0.08678122012589999,0.0,0.0006950453358270001,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2020.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,16.0,1973-12-01,16863,0.125999,562.0,0.03169377507765825,0.0,0.006689948047423614,0.008029296379283226,3.4737859804473214e-05,6.337191563157012e-07,4.559989218279788e-06,0.0,0.035718500327802445,0.036875160074857825,0.00753098016653991,0.002607401353179023,0.0024906148298182267,6.327735438899956e-52,0.21119047016031162,0.4729838868709724,0.0,0.009499632667335334,14723.946232924287,0.11792655299515958,0.02035741994103,0.2900211179721408,0.006588928589207
MIQUETLA-112,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0129092222899,0.115610197501,0.0,0.0024759675563000003,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2047.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,23.0,1974-02-01,16801,0.11699,560.0,0.28967274833830436,0.001133829579695219,0.004665356157047023,0.00466529991950422,0.0001386598734795439,6.79613288164003e-05,6.796225604911199e-05,0.0006297354554811185,0.008950163910541103,0.010185867238417022,0.013220506652201008,0.011376362765517822,0.01111428941131417,6.372998066050006e-52,0.17163466450624928,0.3191461790257008,0.0,0.004515673112872472,8955.628379832908,0.1917983516510645,0.032177588540066665,0.22482569434386607,0.0153851898462
MIQUETLA-85,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00428847162421,0.0299630171223,0.0,0.00318460731115,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2155.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,29.0,1974-06-01,16681,0.00771,556.0,0.02929767940826644,0.00770999952801241,0.007709999999784072,0.00770999996728561,1.1706853196498516e-05,1.1706856424858548e-05,1.1706856202469727e-05,0.00444299991674514,0.004442999932645233,0.004442999999998662,0.0006512712781718161,0.000651271277360275,0.0006512712739225535,6.464992518064159e-52,0.23040102541176685,0.4675935160399348,0.0,0.012967735593788998,6986.875453051327,0.7425972677938967,0.00928230781126,0.30833327808508953,0.007473078935360001
MIQUETLA-94,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.006972579058720001,0.016735052666100002,0.0,0.000614895124,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,1959.9,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,14.0,1974-07-01,16651,0.131187,555.0,0.03194939992064261,0.008161659191929389,0.008960134007154463,0.009027276178821817,1.4139115631932568e-06,3.950374673046317e-06,4.2217802553547e-06,0.005353999970953047,0.005353999991723402,0.005353997970243631,0.00012952836044971176,0.00012952835997693475,0.00012952840599007433,6.488302369424212e-52,0.11030364988134259,0.15486772932964815,0.0,0.011370516672451484,2400.1237598261323,0.08818761591967952,0.00976175450307,0.13611493810295053,0.007587474182720001
