pozo,Qi_hist,hidrocarburo_principal,estado_actual,trayectoria,first_oil,ultima_produccion,mes_max,profundidad_total,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,relacion_gas,corte_agua,Qi_hyp,b,di_hyp,Qi_harm,di_harm,Qi_exp,di_exp,Qi_hyp_gas,b_gas,di_hyp_gas,Qi_harm_gas,di_harm_gas,Qi_exp_gas,di_exp_gas,Qi_hyp_condensado,b_condensado,di_hyp_condensado,Qi_harm_condensado,di_harm_condensado,Qi_exp_condensado,di_exp_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,RSS_condensado_exponencial,RSS_condensado_hiperbolica,RSS_condensado_harmonica
LACAMANGO-24,0.255589,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1976-09-01,2019-09-01,524.0,2000.0,21.0,0.670737343748387,0.8526685833258085,0.0,0.542806618064516,0.8128487743026883,1662.6973100016542,1.2606017036482862,0.20533779932023394,0.9999999999999999,0.014778495931442173,0.20533787651232546,0.014778508649844837,0.14739852950930524,0.0045581497973189574,0.11792753639820874,7.111686124640092e-07,0.0016156848062628484,0.11612135002438874,0.001857215367423796,0.11795163578913645,0.0016165007675719093,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.6591356936814243,0.5992576074754867,0.5992576074788901,1.9161555357122073,1.9161555851237604,1.9340070178056,1.9161555357122073,1.9161555851237604,1.9340070178056
LACAMANGO-18,0.218046,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1976-09-01,2000-09-01,292.0,1780.0,17.0,0.6980319599999995,0.9432516,0.0,0.015200249999999986,0.8552405600000005,1442.807039665563,0.03889210255664899,0.2180459999972476,0.3658670986540153,0.009078947826792477,0.21804599999999996,0.012832880162190015,0.20817022265751747,0.006938268420305959,0.145420999950734,2.994074167103098e-08,0.0022857161988305017,0.14542099999999997,0.0025583891174610226,0.14542099999999894,0.0022860093551949926,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.21323082387063308,0.2078323294527144,0.2245583363561276,1.6741316559821868,1.6741316615470838,1.7105120368038997,1.6741316559821868,1.6741316615470838,1.7105120368038997
LACAMANGO-12,0.067767,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1976-09-01,2019-01-01,515.0,2000.0,19.0,0.8001376585112828,1.9980395816894698,0.0,0.3966511429015229,1.1331442554595261,11255.996856537035,0.9518698269964329,0.06333228708250294,3.937896508404499e-07,0.00045888876138338816,0.06361820874821313,0.0005161518426563969,0.06333228619108133,0.00045888748950366525,0.05946499999999988,0.9999999999999999,6.131510308352009e-16,0.05946499999999999,6.045092462087212e-20,0.05946499999995946,3.548337167757262e-14,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.36321346227021933,0.3632134622625929,0.36323649746825803,23.721416963212025,23.72141696316436,23.721416963163566,23.721416963212025,23.72141696316436,23.721416963163566
LACAMANGO-6,0.26056,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1976-11-01,2008-10-01,389.0,1950.0,25.0,0.5537189699999994,1.7388111300000002,0.0,0.051228629999999976,0.8435208249999998,2915.2589688553226,0.17230094053226008,0.08525286831119604,1.5203264902975515e-11,0.002646323322084143,0.09034921446893598,0.00428914196056126,0.08525259999578493,0.002646296500525662,0.16855550195584515,0.00014123181580172613,4.703241102882843e-05,0.1681657186243851,3.504586286628885e-05,0.16852793038407193,4.6235662967864804e-05,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.36660209966112056,0.3666018793146665,0.37230484514053014,12.14213064134111,12.142130684629524,12.142237527557608,12.14213064134111,12.142130684629524,12.142237527557608
LACAMANGO-8,0.16231700000000002,aceite_Mbd,CERRADO CON POSIB DE EXP.,VERTICAL,1977-02-01,2018-03-01,500.0,1900.0,17.0,1.7710076575156095,1.862069067588509,0.0,0.2496652507296204,2.081352502113692,1547.9946598506526,0.26126973336858506,0.12428125930432993,0.9981878260338493,7.705460438263814e-20,0.12428123907591959,1.325734537471941e-16,0.12428123911538284,7.938252556782017e-18,0.1487444103794386,3.8867218294842384e-06,0.0005152755129384876,0.14532043709387896,0.0004488302547990949,0.14879119248160005,0.0005160327964173488,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,2.0397230317809436,2.0397230317811346,2.0397230317809827,6.436010416802447,6.436010739316108,6.449205337434012,6.436010416802447,6.436010739316108,6.449205337434012
LACAMANGO-26,0.151117,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1977-02-01,2018-02-01,499.0,2050.0,30.0,1.0938169553085597,1.0074576352086326,0.0,0.4651772317781608,1.2617265611766648,1002.717114178409,0.944631286749248,0.08175217110379306,3.211901499264672e-13,0.00021991686958122616,0.08136888938245494,0.00020747311802550195,0.08175880263034216,0.00022025403401392007,0.0783963089782954,4.355012791818649e-11,0.0003844616100705548,0.0775245663549586,0.0003570702213644277,0.07839543602388904,0.0003842419918891998,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,1.3935998632697335,1.3935787297078988,1.3939662612847123,1.5606248278582262,1.5606246024882546,1.5620460522034565,1.5606248278582262,1.5606246024882546,1.5620460522034565
LACAMANGO-109,0.175039,aceite_Mbd,PRODUCTOR,VERTICAL,1977-04-01,2020-02-01,522.0,2000.0,19.0,1.0822195369621819,1.268272796728822,0.0,0.34554742880088707,1.2935983364169872,1281.8901613833498,0.46856048864474525,0.08106513382922723,0.9973551787001522,2.0858076949294258e-16,0.08106513384871711,1.511037530848277e-17,0.08106513385484561,9.0160674037012e-21,0.09686382614699236,3.683878528669502e-08,8.036486189184342e-05,0.09669484222383437,7.397976786083212e-05,0.09686272788989708,8.031737866825773e-05,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.847985710985707,0.847985710985715,0.8479857109857073,2.7006639968868824,2.7006639961796512,2.7007271081475657,2.7006639968868824,2.7006639961796512,2.7007271081475657
LACAMANGO-129,0.325203,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1977-05-01,1988-08-01,137.0,1988.0,25.0,0.3858944700000001,0.6215129999999999,0.0,0.013329989999999998,0.48947996999999993,5364.479420134417,0.035565764476829624,0.24133154038252727,4.999456375851561e-07,0.013140635603829779,0.2539550785977618,0.021640385789051784,0.24133230455232624,0.013136188546134618,0.21807473657771037,4.324375808106851e-06,7.479494726856879e-16,0.21807473631430369,1.225487430248009e-13,0.21807473417170845,1.6996497424920542e-12,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.22200560137846037,0.22200566910721334,0.2417193628602506,1.2677936830881147,1.2677936830724212,1.2677936830735523,1.2677936830881147,1.2677936830724212,1.2677936830735523
LACAMANGO-115,0.279774,aceite_Mbd,TAPONADO,VERTICAL,1977-05-01,2003-04-01,316.0,2280.0,25.0,1.091866500000001,1.3830819599999997,0.0,0.01652910000000001,1.32238016,1341.6763343595378,0.02075865536164909,0.19562831243030276,0.999999999999891,0.004957110602255471,0.19562797581690927,0.004957082460447511,0.1784275030861208,0.0028211230403658335,0.17915755357412613,1.9486030476799633e-08,0.0011529382482873458,0.17821034297525176,0.0012488502296723045,0.17915557049181913,0.0011528630784303322,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.3908582284880894,0.3683939727401814,0.36839397271153684,2.255055893346052,2.2550558936608347,2.2622855888785467,2.255055893346052,2.2550558936608347,2.2622855888785467
LACAMANGO-16,0.229659,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1977-06-01,1980-08-01,39.0,1948.0,63.0,0.12949820999999997,0.23118597000000002,0.0,0.0044335799999999995,0.16802920500000001,2000.5397442784777,0.04112665337689555,0.2001460108619354,0.9999999999975443,0.05294486938962319,0.20014603149772972,0.05294488631282866,0.18274956103854587,0.029524553496039437,0.19759484589491386,2.948456579257054e-10,3.0198958066354144e-15,0.19759484617618267,1.6310002575290682e-16,0.197594845745158,5.0160744102215045e-15,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.04482315735990039,0.04083585421521864,0.0408358542152171,1.4576969310651509,1.457696931065077,1.4576969310650794,1.4576969310651509,1.457696931065077,1.4576969310650794
