pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
TAJIN-331,0.0024222804749600003,0.000433083142374,2020-02-01,6.0,1948.0,VERTICAL,2019-08-01,PRODUCTOR,35.0,0.00021963121923816001,0.00046383443322906,0.0,2.1528319652460003e-05,0.00029693695810967003,2544.993911296798,0.16179458346789866,BAJA
PRESIDENTE MIGUEL ALEMAN-150,0.0328630452292,0.0296806067515,2018-05-01,2.0,2710.0,VERTICAL,2018-03-01,INACTIVO,60.0,0.0026528264085989997,0.0027306277235039996,0.0,0.0034673697272339997,0.0031079310291829997,1038.1726816010353,1.3319634650432348,MEDIA
TAJIN-307,0.008884607275959999,0.00401804950255,2020-02-01,23.0,2020.0,VERTICAL,2018-03-01,INACTIVO,40.0,0.002432443522197299,0.008570308552949399,0.0,0.0015631567112423996,0.0038608282810222,3414.315431984581,0.6207709985626291,BAJA
TAJIN-305,0.000232581734012,0.000232581734012,2019-09-01,0.0,2067.0,DIRECCIONAL,2019-09-01,INACTIVO,1501.0,6.9774520203600006e-06,2.462097522801e-05,0.0,0.0,1.1080947891695e-05,3528.648445903564,0.0,BAJA
TAJIN-322,0.00286171998194,0.00226853017955,2020-02-01,9.0,2100.0,DIRECCIONAL,2019-05-01,INACTIVO,55.0,0.0003122023846464,0.0010644827975658001,0.0,0.0,0.0004896161842407,3561.0722725122005,0.0,BAJA
TAJIN-321,0.0253048938308,0.016160421673,2020-02-01,13.0,1851.0,VERTICAL,2019-01-01,PRODUCTOR,59.0,0.007881309399493502,0.004844219272524299,0.0,0.0028195753921650005,0.008688679278247548,661.7831725442628,0.3173985221306042,MEDIA
TAJIN-326,0.013495076800200002,0.014020890944,2020-02-01,23.0,2000.0,VERTICAL,2018-03-01,PRODUCTOR,40.0,0.009613053061269599,0.03332486009900099,0.0,0.00519343734069,0.015167196411103097,3914.773884804696,0.5402376233654349,BAJA
TAJIN-306,0.00099677715832,0.000469382450142,2018-06-01,2.0,1920.0,VERTICAL,2018-04-01,INACTIVO,38.0,4.398478825386e-05,7.878760037724002e-05,0.0,2.21229688746e-05,5.71160549834e-05,1687.419855548174,0.503728481039271,BAJA
TAJIN-315,0.0500864458737,0.0192825154981,2020-02-01,23.0,2110.0,DIRECCIONAL,2018-03-01,PRODUCTOR,44.0,0.0139240187578095,0.0137152615616007,0.0,0.009748012194499799,0.016209895684742952,1191.358947567969,0.7584656396698395,MEDIA
TAJIN-339,0.000232581734012,0.000232581734012,2019-09-01,0.0,2057.0,DIRECCIONAL,2019-09-01,INACTIVO,39.0,6.9774520203600006e-06,3.74238823647e-05,0.0,0.0,1.321476574781e-05,5363.545640371042,0.0,BAJA
